Freq,Disaster Number,State,Year,Year 1,Fishery,Management Zone,Area/Season Affected,Comm/Rec/Tribal,State/Federal,Requester(s),Request Date,Request Year,Request Year - Disaster Year,Request letter,Secretary of Commerce Determination,State-years,Determination Date,Determination Lag (d),Determination Year,Press Release:,Formal Federally-stated Cause,Cause of Disaster,Cause simplified,Cause more simplified,Determination Authority:,Determination Letter:,Funding Authority,Appropriation Amount,US BLS correction factor (Jan - Oct 2019),Appropriation amount (2019 USD),Notes,Total est. damages,,
1,112,Washington,2020 pending,2020,"Sockeye, Chum",West Coast Region,"Fraser River (sockeye), Puget Sound (fall chum)",Port Gamble S'Klallam ,Tribal,Chairman Jeromy Sullivan,2/24/21,2021,1,"Request Letter (PDF, 2 pages)",TBD,,,,,,,,,,,,,,,,,,,
1,111,REPEAT OF NO. 110,REPEAT OF NO. 110,REPEAT OF NO. 110,REPEAT OF NO. 110,REPEAT OF NO. 110,REPEAT OF NO. 110,REPEAT OF NO. 110,REPEAT OF NO. 110,REPEAT OF NO. 110,REPEAT OF NO. 110,REPEAT OF NO. 110,REPEAT OF NO. 110,REPEAT OF NO. 110,REPEAT OF NO. 110,,,,,,,,,,,,,,,,,,,
1,110,Alaska,"2018, 2020 pending",2019,"salmon, Pacific cod, Tanner Crab",Alaska Region,"2020: Norton Sound, Yukon River, Kuskokwim River, Chignik(sockeye), Prince William Sound, Southeast Alaska",All (including Chignik),"Federal, Tribal",Governor Mike Dunleavy,3/8/21,2021,"3, 2, 1","Request Letter (PDF, 2 pages)",TBD,,,,,,,,,,,,,,,,"This assistance request  contained #s 106-109, which were not repeated in this record",,,
1,109,Alaska,2020 pending,2020,Pacific Cod,Alaska Region,Gulf of Alaska,Commercial,Federal,Governor Mike Dunleavy,3/8/21,2021,1,"Request Letter (PDF, 2 pages)",TBD,,,,,,,,,,,,,,,,,,,
1,108,Alaska,"2019, 2020 pending",2019,Tanner Crab,Alaska Region,Bering Sea,Commercial,Federal,Governor Mike Dunleavy,3/8/21,2021,1,"Request Letter (PDF, 2 pages)",TBD,,,,,,,,,,,,,,,,,,,
1,107,Alaska,"2018,  2020 pending",2018,Salmon,Alaska Region,Copper River,Commercial,Federal,Governor Mike Dunleavy,3/8/21,2021,"3, 1","Request Letter (PDF, 2 pages)",TBD,,,,,,,,,,,,,,,,,,,
1,106,Alaska,"2018,  2020 pending",2018,Salmon,Alaska Region,2018: East side salmon setnet; 2020 Upper Cook Inlet,Commercial,Federal,Governor Mike Dunleavy,3/8/21,2021,"3, 1","Request Letter (PDF, 2 pages)",TBD,,,,,,,,,,,,,,,,,,,
1,105,Washington,2020 pending,2020,"Chinook, Coho, Chum, Sockeye (all ocean-specific)",West Coast Region,Ocean,Commercial,Federal,Governor Jay Inslee,2/10/21,2021,1,"Request Letter (PDF, 2 pages)",TBD,,,,,,,,,,,,,,,,,,,
1,104,Washington,2019 pending,2019,Salmon,West Coast Region,"Columbia River, Wallipa Bay, Puget Sound",Commercial,Federal,Governor Jay Inslee,2/10/21,2021,1,"Request Letter (PDF, 2 pages)",TBD,,,,,,,,,,,,,,,,,,,
1,103,Florida,2020 pending,2020,All Fisheries,Southeast Region,Northwest Florida,Commercial and Recreational,"Federal, State",Governor Ron DeSantis,12/15/20,2020,1,"Request Letter (PDF, 2 pages)",TBD,,,,,,,,,,,,,,,,,,,
1,102,California,2019 pending,2019,Chinook,West Coast Region,Klamath River Fall,Tribal,Tribal,"Joseph L. James, Chairman, Yurok Tribe",10/30/20,2020,1,"Request Letter (PDF, 7 pages)",TBD,,,,,,,,,,,,,,,,,,,
1,101,Louisiana,2020 pending,2020,All Fisheries,Southeast Region,,All,Both,Gov. John Bel Edwards,9/25/20,2020,,"Request Letter (PDF, 3 pages)",TBD,,,,,,Natural causes (hurricane),Natural Causes (Hurricane Laura),Natural Causes (Hurricane),Environmental Anomalies,,,,,,,,,,
1,100,Washington,"2014, 2019 pending","2014, 2019","Sockeye, Chum, Coho",West Coast Region,"Washington Fraser River, Puget Sound, Port Gamble",Tribal,Tribal,"Jeromy Sullivan, Chairman, Port Gamble S’Klallam Tribe",1/28/2020; 9/15/2020,2020,"6, 1","Request Letter: Port Gamble (PDF, 5 pages)",TBD,,,,,,,,,,,,,,,,,,,
1,99,Washington,2019 pending,2019,Chum,West Coast Region,Puget Sound Fall Run (Squaxin Island Tribe),Tribal,Tribal,"Arnold Cooper, Chairman, Squaxin Island Tribe",6/1/20,2020,1,"Request Letter: Squaxin Island (PDF, 2 pages)",TBD,,,,,,,,,,,,,,,,,,,
1,98,Washington,2019 pending,2019,"Chinook, Chum, Coho, Pink",West Coast Region,Green River,Tribal,Tribal,"Jaison Elkins, Chairperson, Muckleshoot Indian Tribe",5/14/20,2020,1,"Request Letter: Muckleshoot (PDF, 4 pages)",TBD,,,,,,,,,,,,,,,,,,,
1,97,"ME, MA, NH, RI, NJ",2019,2019,Atlantic Herring,Greater Atlantic Region,"Maine, Massachussetts, New Hampsire, Rhode Island, New Jersey",Commercial,Federal,Governor Janet Mills (ME); Governor Charles Baker (MA); Governor Christopher Sununu (NH); Governor Gina Raimondo (RI); Philip D. Murphy (NJ),7/6/20; 8/18/20; 9/10/20; 10/14/20; 3/23/20,2020,1,"Request Letters: Maine (PDF, 4 pages); Massachusetts (PDF; 2 pages); New Hampshire (PDF; 2 pages); Rhode Island (PDF, 2 pages); New Jersey (PDF, 2 pages)",Approved,5,11/22/21,505,2021,https://www.noaa.gov/news-release/secretary-of-commerce-issues-fishery-disaster-determination-for-2019-atlantic-herring-fishery,Natural causes,Natural causes (poor recruitment),"Natural causes (poor recruitment, overfishing, and subsequent regulations)",Human Causes and Environmental Anomalies,MSA 312(a),,,,,,,,,
