"mgmt_group","comm_name","level","sci_name","complex"
"Coastal pelagic species","Chub mackerel","species","","Wet fish"
"Coastal pelagic species","Humbolt squid","species","Dosidicus gigas","...."
"Coastal pelagic species","Jack mackerel","species","","Wet fish"
"Coastal pelagic species","Market squid","species","","Wet fish"
"Coastal pelagic species","Northern anchovy","species","","Wet fish"
"Coastal pelagic species","Pacific bonito","species","","Wet fish"
"Coastal pelagic species","Pacific herring","species","Clupea pallasii","...."
"Coastal pelagic species","Pacific sardine","species","","Wet fish"
"Coastal pelagic species","Round herring","species","","...."
"Coastal pelagic species","Unsp. Mackerel","group","","Wet fish"
"Crabs","Bairdi tanner crab","species","Chionoecetes bairdi","Tanner crab"
"Crabs","Crustaceans","group","Crustacea",""
"Crabs","Decapoda (order) crabs","group","Decapoda",""
"Crabs","Dungeness crab","species","Cancer magister","...."
"Crabs","King crab","group","Paralithodes",""
"Crabs","Other crab","group","","...."
"Crabs","Rock crab","species","","...."
"Crabs","Scarlet king crab","species","","King crab"
"Crabs","Snow crab","species","Chionoecetes opilio",""
"Crabs","Snow/tanner crab","group","Chionoecetes",""
"Crabs","Unsp. Crab","group","","...."
"Crabs","Unsp. King crab","group","","King crab"
"Crabs","Unsp. Tanner crab","group","","Tanner crab"
"Groundfish","Arrowtooth flounder","species","Atheresthes stomias","Flatfish"
"Groundfish","Atka mackerel","species","Pleurogrammus monopterygius","Roundfish"
"Groundfish","Aurora rockfish","species","","Rockfish"
"Groundfish","Bank rockfish","species","","Rockfish"
"Groundfish","Big skate","species","","...., Miscellaneous groundfish"
"Groundfish","Bigmouth sole","species","","Flatfish"
"Groundfish","Black rockfish","species","Sebastes melanops","Rockfish"
"Groundfish","Black-and-yellow rockfish","species","","Rockfish"
"Groundfish","Black+blue rockfish","group","","Rockfish"
"Groundfish","Blackgill rockfish","species","","Rockfish"
"Groundfish","Blackspotted rockfish","species","","Rockfish"
"Groundfish","Blue rockfish","species","Sebastes mystinus","Rockfish"
"Groundfish","Bocaccio","species","Sebastes paucispinis","Rockfish"
"Groundfish","Bocaccio+chilipepper rckfsh","group","","Rockfish"
"Groundfish","Bronzespotted rockfish","species","","Rockfish"
"Groundfish","Brown rockfish","species","","Rockfish"
"Groundfish","Butter sole","species","Isopsetta isolepis","Flatfish"
"Groundfish","C-o sole","species","","Flatfish"
"Groundfish","Cabezon","species","","Roundfish"
"Groundfish","Calico rockfish","species","","Rockfish"
"Groundfish","California scorpionfish","species","","Rockfish"
"Groundfish","California skate","species","","Miscellaneous groundfish"
"Groundfish","Canary rockfish","species","Sebastes pinniger","Rockfish"
"Groundfish","Canary+vermilion rckfsh","group","","Rockfish"
"Groundfish","Capelin","species","Mallotus villosus","Roundfish"
"Groundfish","Chameleon rockfish","species","","Rockfish"
"Groundfish","Chilipepper rockfish","species","","Rockfish"
"Groundfish","China rockfish","species","Sebastes nebulosus","Rockfish"
"Groundfish","Chondrichthyes (class) sharks","group","Chondrichthyes",""
"Groundfish","Copper rockfish","species","Sebastes caurinus","Rockfish"
"Groundfish","Cowcod rockfish","species","","Rockfish"
"Groundfish","Curlfin sole","species","","Flatfish"
"Groundfish","Darkblotched rockfish","species","Sebastes crameri","Rockfish"
"Groundfish","Deacon rockfish","species","","Rockfish"
"Groundfish","Deepsea sole","species","","Flatfish"
"Groundfish","Diamond turbot","species","","Flatfish"
"Groundfish","Dogfish sharks","group","Squalidae",""
"Groundfish","Dover sole","species","Microstomus pacificus","Flatfish"
"Groundfish","English sole","species","Parophrys vetulus","Flatfish"
"Groundfish","Fantail sole","species","","Flatfish"
"Groundfish","Flag rockfish","species","","Rockfish"
"Groundfish","Flatfishes","group","Pleuronectiformes",""
"Groundfish","Flathead sole","species","Hippoglossoides elassodon","Flatfish"
"Groundfish","Freckled rockfish","species","","Rockfish"
"Groundfish","Gen. Shelf/slope rf","group","","Rockfish"
"Groundfish","Gopher rockfish","species","","Rockfish"
"Groundfish","Grass rockfish","species","","Rockfish"
"Groundfish","Greenblotched rockfish","species","","Rockfish"
"Groundfish","Greenland halibut","species","Reinhardtius hippoglossoides",""
"Groundfish","Greenspotted rockfish","species","","Rockfish"
"Groundfish","Greenstriped rockfish","species","Sebastes elongatus","Rockfish"
"Groundfish","Grenadiers","group","Macrouridae",""
"Groundfish","Halfbanded rockfish","species","","Rockfish"
"Groundfish","Harlequin rockfish","species","","Rockfish"
"Groundfish","Honeycomb rockfish","species","","Rockfish"
"Groundfish","Hornyhead turbot","species","","Flatfish"
"Groundfish","Kelp greenling","species","","Roundfish"
"Groundfish","Kelp rockfish","species","","Rockfish"
"Groundfish","Leopard shark","species","","Miscellaneous groundfish"
"Groundfish","Lingcod","species","Ophiodon elongatus","Roundfish"
"Groundfish","Loliginidae squids","group","Loliginidae",""
"Groundfish","Longfin sanddab","species","","Flatfish"
"Groundfish","Longnose skate","species","","Miscellaneous groundfish"
"Groundfish","Longspine thornyhead","species","","Rockfish"
"Groundfish","Mexican rockfish","species","","Rockfish"
"Groundfish","Nor. Unsp. Near-shore rockfish","group","","Rockfish"
"Groundfish","Nor. Unsp. Shelf rockfish","group","","Rockfish"
"Groundfish","Nor. Unsp. Slope rockfish","group","","Rockfish"
"Groundfish","Octopuses","group","Octopodidae",""
"Groundfish","Olive rockfish","species","","Rockfish"
"Groundfish","Other flatfish","group","","Flatfish"
"Groundfish","Other groundfish","group","","Miscellaneous groundfish"
"Groundfish","Other rockfish","group","","Rockfish"
"Groundfish","Pacific cod","species","Gadus macrocephalus","Roundfish"
"Groundfish","Pacific flatnose","species","","...."
"Groundfish","Pacific grenadier","species","","...."
"Groundfish","Pacific ocean perch","species","Sebastes alutus","Rockfish"
"Groundfish","Pacific sanddab","species","","Flatfish"
"Groundfish","Pacific whiting","species","","Roundfish"
"Groundfish","Petrale sole","species","Eopsetta jordani","Flatfish"
"Groundfish","Pink rockfish","species","","Rockfish"
"Groundfish","Pinkrose rockfish","species","","Rockfish"
"Groundfish","Puget sound rockfish","species","","Rockfish"
"Groundfish","Pygmy rockfish","species","","Rockfish"
"Groundfish","Quillback rockfish","species","","Rockfish"
"Groundfish","Rajidae (family) skates","group","Rajidae",""
"Groundfish","Redbanded rockfish","species","Sebastes babcocki","Rockfish"
"Groundfish","Redstripe rockfish","species","Sebastes proriger","Rockfish"
"Groundfish","Rex sole","species","Glyptocephalus zachirus","Flatfish"
"Groundfish","Righteye flounders","group","Pleuronectidae",""
"Groundfish","Rock sole","species","Paraplagusia bilineata","Flatfish"
"Groundfish","Rockfishes","group","Sebastes",""
"Groundfish","Rosethorn rockfish","species","","Rockfish"
"Groundfish","Rosy rockfish","species","","Rockfish"
"Groundfish","Rougheye + blackspotted rockfish","group","","Rockfish"
"Groundfish","Rougheye rockfish","species","","Rockfish"
"Groundfish","Roughtail skate","species","","Miscellaneous groundfish"
"Groundfish","Sablefish","species","Anoplopoma fimbria","Roundfish"
